time,x,y,z
3.891,-0.46,-0.51,3.25
3.896,-0.03,-0.03,3.45
3.904,0.10,0.72,3.66
3.914,1.01,1.17,3.77
3.923,2.30,1.45,3.60
3.930,2.24,1.34,3.73
3.938,2.76,1.47,3.40
3.946,3.11,1.69,3.32
3.955,2.79,1.98,3.51
3.963,2.39,2.39,3.84
3.972,1.98,2.80,3.90
3.980,1.91,2.72,3.97
3.988,1.76,3.13,3.92
3.997,1.92,3.43,3.74
4.005,1.98,3.49,3.59
4.024,2.48,3.85,3.06
4.025,2.91,3.78,1.82
4.031,2.92,3.80,1.79
4.038,2.42,3.81,1.31
4.048,2.26,3.56,1.07
4.055,3.78,2.24,-5.23
4.064,5.69,-2.70,-17.49
4.072,-0.68,-5.10,-4.70
4.080,-0.61,-5.10,-4.69
4.090,0.84,-1.90,9.85
4.097,1.12,0.10,13.31
4.107,1.84,0.80,4.06
4.114,4.81,-1.10,-3.55
4.125,4.21,-3.19,0.05
4.131,1.72,-3.11,1.83
4.140,1.79,-3.01,1.69
4.147,2.17,-3.28,3.59
4.157,3.48,-3.70,2.19
4.165,2.93,-3.32,1.23
4.173,1.72,-2.44,1.23
4.183,1.01,-1.89,1.56
4.191,1.04,-1.80,1.39
4.198,-0.15,-1.81,2.08
4.218,-0.62,-2.06,2.19
4.219,-0.38,-2.29,1.83
4.223,-0.26,-2.33,1.53
4.231,-0.33,-2.24,1.65
4.241,-0.31,-2.17,1.49
4.248,-0.02,-1.82,1.72
4.259,0.12,-1.21,1.58
4.265,0.35,-0.60,1.26
4.274,0.70,0.13,0.60
4.282,1.09,0.71,-0.11
4.291,1.08,0.75,-0.25
4.298,1.20,0.89,-0.19
4.310,0.82,0.69,0.30
4.319,0.50,0.42,0.85
4.327,-0.04,0.00,1.20
4.332,-0.48,-0.22,1.33
4.341,-0.53,-0.20,1.22
4.349,-0.71,-0.40,0.32
4.357,-1.15,-0.50,-0.52
4.367,-1.88,-0.49,-0.84
4.374,-2.80,-0.26,-0.33
4.384,-3.12,0.33,0.30
4.391,-2.64,1.07,1.33
4.400,-2.66,1.08,1.23
4.408,-1.65,1.70,0.79
4.417,-1.50,1.61,-0.39
4.433,-0.64,1.26,-1.55
4.437,0.56,0.84,-1.57
4.441,1.84,0.41,-0.80
4.452,1.84,0.42,-0.92
4.458,2.77,0.06,-0.34
4.468,3.69,-0.23,0.13
4.475,3.92,-0.19,-0.52
4.485,3.29,-0.18,-1.74
4.491,2.50,-0.22,-2.50
4.500,2.45,-0.21,-2.58
4.508,1.39,-0.25,-2.93
4.517,0.49,-0.29,-2.58
4.525,-0.30,-0.27,-1.75
4.535,-0.96,-0.19,-0.84
4.542,-1.60,-0.11,0.35
4.550,-1.66,-0.11,0.29
4.559,-2.24,-0.04,1.15
4.569,-2.65,-0.08,1.47
4.580,-2.83,-0.18,1.13
4.589,-2.44,-0.28,0.65
4.592,-2.20,-0.74,0.11
4.601,-2.24,-0.74,0.05
4.609,-2.91,-1.74,-0.90
4.617,-2.97,-2.94,-2.98
4.630,-3.17,-4.37,-4.16
4.634,-2.74,-5.03,-4.52
4.646,-1.85,-5.15,-5.07
4.651,-1.17,-4.77,-5.48
4.660,-1.16,-4.75,-5.43
4.668,-0.25,-4.25,-5.68
4.679,0.78,-3.63,-5.78
4.684,1.46,-3.13,-5.91
4.694,1.77,-3.12,-5.84
4.701,1.81,-3.30,-5.24
4.711,1.83,-3.30,-5.08
4.718,1.44,-3.64,-4.26
4.732,0.97,-3.88,-3.45
4.742,0.92,-3.99,-2.97
4.753,0.97,-3.92,-2.50
4.755,0.76,-3.73,-1.80
4.763,0.79,-3.75,-1.59
4.769,0.55,-3.28,-0.58
4.777,0.01,-2.89,0.52
4.786,-0.07,-2.35,1.75
4.794,0.01,-1.72,2.75
4.802,0.06,-1.21,3.04
