time,x,y,z
2.592,1.39,-1.98,4.01
2.601,1.74,-1.73,4.46
2.611,2.37,-1.63,4.43
2.618,3.02,-1.49,4.15
2.627,2.76,-1.50,4.34
2.635,3.10,-1.36,3.73
2.651,3.48,-1.47,2.88
2.652,3.53,-1.83,1.85
2.660,3.60,-2.30,0.90
2.669,3.21,-2.84,0.25
2.677,3.12,-2.87,0.36
2.687,2.48,-2.88,0.08
2.693,2.11,-1.91,0.43
2.702,2.16,-0.36,1.53
2.710,3.00,1.35,3.58
2.719,3.02,2.51,5.78
2.727,2.97,2.44,5.94
2.736,2.38,2.95,7.17
2.744,1.11,2.80,6.80
2.753,-0.89,2.00,6.03
2.761,-2.38,1.36,5.27
2.770,-2.54,1.40,5.17
2.781,-2.51,1.37,5.25
2.793,-2.45,1.77,5.99
2.795,-2.76,1.88,6.18
2.811,-2.48,2.22,6.05
2.813,-1.61,2.43,5.95
2.821,-0.64,2.88,5.58
2.828,-0.66,2.86,5.58
2.837,0.42,3.27,5.09
2.845,1.10,3.47,4.70
2.854,1.37,3.52,4.61
2.861,1.38,3.64,4.37
2.872,1.59,4.17,3.89
2.878,1.87,4.47,3.29
2.887,1.84,4.72,3.25
2.895,2.24,4.96,2.46
2.904,2.86,4.57,1.58
2.912,3.17,3.60,0.24
2.927,3.07,2.11,-1.43
2.930,3.24,0.29,-3.20
2.948,3.23,0.32,-3.27
2.949,3.23,-1.55,-5.06
2.955,2.70,-3.60,-7.45
2.963,3.28,-5.57,-10.70
2.971,3.51,-6.88,-11.82
2.980,3.20,-6.66,-10.63
2.988,3.19,-6.67,-10.53
3.006,2.36,-5.11,-7.85
3.007,1.46,-2.76,-4.90
3.016,0.37,-0.01,-3.05
3.021,-0.35,2.43,-2.11
3.032,-0.36,4.21,-1.57
3.038,-0.35,4.19,-1.53
3.061,0.08,5.02,-0.59
3.062,0.59,4.09,0.71
3.063,1.51,1.52,1.51
3.073,2.86,-1.41,3.12
3.081,4.37,-3.34,5.90
3.088,4.36,-3.33,5.88
3.099,4.97,-4.43,5.22
3.105,5.44,-5.05,2.65
3.114,5.24,-4.43,2.27
3.122,4.14,-2.18,4.46
3.130,2.71,0.81,6.69
3.139,2.69,0.80,7.94
3.147,1.23,3.08,7.75
3.156,-0.42,4.42,7.96
3.164,-2.07,4.57,7.86
3.172,-2.87,3.57,8.14
3.187,-2.42,2.22,8.29
3.209,-1.72,0.85,8.47
3.210,-1.65,0.91,8.31
3.211,-0.34,-0.02,7.94
3.214,0.67,-1.06,6.85
3.227,0.66,-2.79,5.32
3.231,-0.22,-4.43,2.99
3.242,-1.79,-5.50,0.89
3.248,-1.77,-5.46,0.75
3.260,-3.31,-5.29,-0.57
3.265,-3.20,-3.87,-1.63
3.274,-2.63,-2.20,-1.65
3.281,-1.83,-0.87,-0.98
3.291,-1.00,0.56,-0.16
3.299,-0.99,0.57,-0.27
3.307,-0.08,1.54,0.19
3.315,0.42,2.06,0.45
3.334,0.39,2.04,0.50
3.335,0.17,1.69,0.48
3.341,-0.13,1.09,0.80
3.349,-0.12,1.09,0.71
3.357,-0.41,0.49,1.73
3.365,-0.57,0.22,2.16
3.376,-0.76,-0.20,1.60
3.383,-0.79,-0.35,1.04
3.391,-0.78,0.20,0.81
3.399,-0.75,0.20,0.67
3.408,-0.61,1.08,-0.00
3.416,-0.05,1.76,-0.64
3.424,0.74,2.00,-1.30
3.433,1.50,1.83,-1.98
3.441,2.10,1.38,-2.18
3.455,2.25,0.84,-1.88
3.458,2.22,0.82,-2.00
3.477,2.17,0.20,-1.76
3.479,1.70,-0.40,-1.59
3.485,0.92,-0.83,-1.73
3.491,0.30,-1.22,-2.07
3.500,-0.13,-1.68,-2.89
3.508,-0.17,-1.71,-2.97
3.519,-0.42,-2.15,-3.98
3.524,-0.67,-2.49,-4.81
3.534,-0.90,-2.54,-5.04
3.542,-1.10,-2.59,-4.68
3.551,-1.34,-2.88,-4.04
3.558,-1.39,-2.90,-4.03
3.567,-1.88,-3.55,-3.16
3.575,-2.35,-4.31,-2.29
3.584,-2.86,-5.07,-1.80
3.592,-2.95,-4.92,-2.12
3.600,-2.57,-4.04,-3.88
3.609,-2.55,-4.03,-3.86
3.625,-1.79,-2.82,-6.21
3.627,-1.04,-2.15,-8.02
3.634,-0.74,-2.33,-8.24
3.643,-0.81,-2.70,-7.60
3.651,-0.64,-3.19,-6.29
3.659,-0.64,-3.16,-6.10
3.667,-0.29,-3.35,-4.68
3.678,0.41,-2.92,-3.07
3.684,1.15,-2.34,-1.31
3.694,1.41,-2.13,0.32
3.701,1.29,-2.28,1.82
3.710,1.18,-2.47,3.11
3.718,1.21,-2.46,3.34
3.728,1.16,-2.54,4.08
3.734,1.47,-2.69,4.43
3.748,2.36,-2.76,4.64
3.751,3.51,-2.60,4.23
3.771,4.37,-2.42,3.69
3.772,4.40,-2.44,3.87
3.778,4.74,-2.40,3.26
3.792,4.80,-2.68,2.46
3.794,4.93,-2.92,1.87
3.811,5.01,-2.64,1.35
3.813,4.64,-1.96,0.88
3.818,4.58,-2.00,1.00
3.828,3.92,-0.43,1.06
3.836,3.61,1.09,1.73
3.844,3.32,2.29,3.04
3.852,2.33,2.84,3.93
3.861,0.58,2.62,4.13
3.870,0.57,2.56,4.27
3.885,-1.05,2.08,4.41
3.887,-2.19,1.79,5.04
3.894,-2.94,1.54,5.49
3.904,-2.94,1.80,5.33
3.910,-2.79,2.51,5.94
3.920,-2.78,2.47,6.00
3.927,-2.17,3.12,6.30
3.936,-1.73,3.66,6.37
3.944,-1.04,3.99,6.37
3.954,-0.68,4.39,6.15
3.961,-0.19,4.68,5.79
3.970,-0.01,4.55,5.42
3.977,-0.07,4.53,5.40
3.987,0.04,4.45,5.06
3.994,0.44,4.39,4.80
4.005,0.89,4.38,4.39
4.011,1.61,4.17,3.33
4.035,2.15,3.91,1.91
4.037,2.13,3.92,1.84
4.039,2.93,2.99,-0.06
4.045,3.56,1.40,-2.35
4.054,4.01,-0.50,-5.20
4.062,5.23,-2.85,-9.38
4.072,6.05,-5.07,-11.50
4.079,6.04,-5.05,-11.50
4.088,5.80,-6.27,-11.46
4.098,4.50,-6.24,-10.22
4.104,3.10,-5.26,-8.04
4.115,2.16,-3.70,-5.91
4.120,1.64,-1.85,-4.38
4.130,1.63,-1.87,-4.31
4.137,1.17,0.29,-3.52
4.147,1.05,2.26,-2.48
4.154,0.99,3.12,-1.39
4.168,1.15,2.16,-1.18
4.171,2.06,-0.12,0.00
4.195,2.08,-0.13,0.07
4.197,3.79,-1.84,6.27
4.199,4.74,-2.30,7.90
4.204,4.85,-2.49,5.70
4.218,4.74,-1.79,6.03
4.221,4.11,0.06,8.74
4.230,3.49,1.86,9.23
4.238,3.66,1.86,9.22
4.247,2.85,2.91,7.82
4.254,1.83,3.40,7.08
4.264,0.74,3.26,7.14
4.271,-0.01,2.39,7.60
4.282,-1.11,0.56,8.51
4.288,-1.09,0.60,8.40
4.298,-2.04,-1.09,9.11
4.306,-1.97,-1.99,8.76
4.314,-1.95,-2.90,7.96
4.323,-2.51,-4.39,7.05
4.331,-2.96,-5.65,5.39
4.340,-2.88,-5.56,5.18
4.348,-3.07,-6.07,2.59
4.356,-3.63,-5.84,0.30
4.364,-3.77,-4.78,-1.17
4.373,-3.12,-3.22,-1.87
4.382,-2.53,-1.78,-1.81
4.389,-2.52,-1.76,-1.95
4.397,-1.28,-0.27,-1.78
4.414,0.14,1.22,-1.39
4.416,0.85,2.46,-1.11
4.432,1.20,2.84,-0.73
4.434,1.53,2.76,-0.33
4.440,1.52,2.76,-0.43
4.448,1.46,2.30,0.12
4.456,1.13,1.67,0.38
4.464,0.50,1.10,0.50
4.473,-0.29,0.64,0.87
4.481,-0.58,0.41,1.48
4.490,-0.56,0.41,1.40
4.498,-0.73,0.79,1.93
4.507,-1.21,1.22,1.30
4.517,-1.23,1.51,0.16
4.525,-0.92,1.81,-0.80
4.533,-0.66,2.06,-1.14
4.541,-0.12,1.88,-0.81
4.549,-0.13,1.86,-0.93
4.559,0.24,1.30,-0.25
4.570,0.55,0.52,0.46
4.580,0.86,-0.24,0.62
4.603,1.24,-0.70,0.09
4.604,1.51,-1.11,-1.03
4.605,1.49,-1.15,-1.20
4.609,1.64,-1.46,-2.92
4.616,1.38,-1.90,-4.96
4.625,0.63,-2.21,-6.59
4.633,-0.36,-2.54,-7.34
4.642,-1.14,-3.26,-6.71
4.649,-1.19,-3.29,-6.73
4.658,-1.95,-4.37,-5.20
4.666,-2.58,-5.48,-3.47
4.674,-3.07,-6.03,-2.18
4.686,-3.28,-5.75,-2.05
4.691,-2.87,-4.46,-3.91
4.715,-2.85,-4.45,-3.94
4.716,-1.80,-2.87,-7.03
4.717,-0.62,-1.88,-9.48
4.725,-0.13,-1.97,-9.86
4.733,-0.40,-2.65,-9.07
4.744,-0.70,-3.25,-7.30
4.750,-0.73,-3.21,-7.12
4.761,-0.73,-3.78,-4.82
4.767,-0.90,-4.46,-2.27
4.777,-0.18,-4.47,-0.23
4.784,1.14,-3.79,0.46
4.799,2.08,-3.06,0.64
4.811,2.58,-2.51,1.27
4.812,2.60,-2.48,1.47
